Título;Tipo;Tiempo de reproducció;Año de emisión;
punto G;pop rap;2:31;2022;
La bachata;pop latino;2:43;2022;
Quevedo;trap latino;3:19;2022;
Hey Mor;trap latino;3:17;2022;
punto 40;pop urbano;3:11;2022;
duki;trap latino;3:41;2022;
APA;trap latino;2:37;2022;
Monotonía;pop;3:20;2022;
Vista Al Mar;pop rap;2:39;2022;
Besos Moja2;pop;3:01;2022;
CAIRO;Reguetón;3:49;2022;
DESPECHÁ;Reguetón;3:21;2022;
Tití Me Preguntó;Reguetón;4:04;2022;
Mbappé;pop latino;2:28;2022;
mariposas;sugar music;2:34;2022;
LACONE;Reguetón;4:21;2022;
LAS 12;Reguetón;2:59;2022;
CALENTÓN;pop latino;2:45;2022;
LEJOS DEL CIELO;pop latino;3:23;2022;
MEMORIAS;pop;3:29;2022;
Sin Señal;pop latino;3:49;2022;
Me Porto Bonito;trap latino;3:05;2022;
LOKERA;pop rap;3:17;2022;
Moscow Mule;pop;4:06;2022;
Ojitos Lindos;Reguetón;4:18;2022;
Ulala;Reguetón;3:08;2022;
Feliz Cumpleaños Ferxxo;Reguetón;2:36;2022;
LA INOCENTE;pop latino;3:22;2022;
Si Yo Me Muero;trap latino;3:21;2022;
Te Felicito;trap latino;2:52;2022;
I'm Good (Blue);pop latino;2:55;2022;
PROVENZA;trap latino;3:30;2022;
As It Was;pop latino;2:47;2022;
Hugo;Reguetón;2:59;2022;
JS4E;Reguetón;3:58;2022;
Patio de la Cárcel (Tangos);Reguetón;3:22;2022;
Quiero Decirte;trap latino;3:42;2022;
Tarot;trap latino;3:58;2022;
RON COLA;pop latino;3:07;2022;
DOMINGO DE BOTE;pop latino;3:11;2022;
DIME QUIÉN????;trap latino;2:45;2022;
Normal;pop;2:52;2022;
Eres;pop latino;3:49;2022;
Unholy;Reguetón;2:37;2022;
EL NENE;Reguetón;3:00;2022;
Anti-Hero;country;3:21;2022;
Caras Vemos;Reguetón;2:36;2022;
Another Love;trap latino;4:11;2022;
Salir Con Vida;pop latino;2:56;2022;
Prohibidox;trap latino;2:46;2022;