Número;Nombre de la empresa
1;egypt
2;Sony Music Latin
3;La Industria Inc
4;1966777 Records DK
5;Super Sangre Joven
6;Suria Records
7;Eloá Sayara
8;Pingui 
9;Sony Music Bolivia
10;profile picture
11;Nasr City
12;Willie Gomez
13;UMLE - Latino
14;"Kamilo Turino; "
15;Universal Music Italia srL. 
16;Temazo alert:
17;Sony Music Bolivia
18;2650608 Records DK
19;Animals Rap
20;SME Records
21;Naifeel
22;Rimas Entertainment LLC
23;Sony Music Bolivia
24;941526 Records DK
25;Difosa
26;avex entertainment Inc.
27;Sony Music Bolivia
28;Rimas
29;Real Hasta La Muerte, LLC
30;Sony Music Bolivia
31;Vox Freaks
32;UMLE - Latino
33;jive
34;Sony Music Bolivia
35;Flow Factory Inc.
36;Real Hasta La Muerte, LLC
37;Sony Music Bolivia
38;Dead Oceans 
39;Dyaz
40;Sony Music Bolivia
41;Golden Bear
42;GMM Grammy.
43;Entonik Music
44;Dxrk
45;Rimas Classics
46;"Music.Info;"
47;Safrok Ucs
48;Sony Music Bolivia
49;Sony Music Bolivia
50;"Penta Music Group SL; "