Nombre;Edad;Género
Quevedo;21;hombre
Manuel Turizo;22;hombre
Bizarrap,Quevedo;24/21;hombre
Ozuna;30;hombre
Rauw Alejandro,Baby Rasta;29/28;hombre
Bizarrap,Duki;24/26;hombre
Mora & Quevedo;26/21;hombre
Shakira & Ozuna;45/30;mujer/hombre
Quevedo;21;hombre
Wisin & Yandel & ROSALÍA;44/45/30;hombre/hombre/mujer
KAROL G & Ovy On the Drums;29/31;mujer/hombre
ROSALÍA;30;mujer
Bad Bunny;28;hombre
Eladio Carrión;28;hombre
Sangiovanni & Aitana;19/23;hombre/mujer
Polimá Westcoast, Quevedo & Mora;25/21/26;hombre/hombre/mujer
Ana Mena & Belinda;25/33;mujer/mujer
Mora;26;hombre
Rauw Alejandro;29;hombre
Mora & Jhayco;26/29;hombre/hombre
Quevedo & Ovy On the Drums;21/31;hombre/hombre
Bad Bunny & Chencho Corleone;28/43;hombre/hombre
Rauw Alejandro, Lyanno & Brray;29/27/30;hombre/hombre/hombre
Bad Bunny;28;hombre
Bad Bunny ;28;hombre
Myke Towers & Daddy Yankee;28/46;hombre/hombre
Feid;30;hombre
Mora & Feid;26/30;hombre/hombre
Anuel AA;30;hombre
Shakira & Rauw Alejandro;45/30;mujer/hombre
David Guetta & Bebe Rexha;55/33;hombre/mujer
KAROL G;31;mujer
Harry Styles;28;hombre
Eladio Carrión;28;hombre
Arcángel;37;hombre
Omar Montes & Farruko;34/31;hombre/hombre
Abraham Mateo & Ana Mena;24/25;hombre/mujer
Bad Bunny & Jhayco;28/29;hombre/hombre
Rauw Alejandro;30;hombre
Mora;26;mujer
Rauw Alejandro;30;hombre
Feid;30;hombre
Manuel Carrasco;41;hombre
Sam Smith & Kim Petras;30/30;hombre/mujer
Anuel AA;30;hombre
Taylor Swift;33;mujer
Eladio Carrión;28;hombre
Tom Odell;32;hombre
Feid;30;hombre
Feid;30;hombre